Active?,Middle East and North Africa,Region within MENA,Country,Think Tank Name,Think Tank Affiliation,Ideology,Country (Physical),City (Physical),Region (Physical),Coordinates,Street Address (unused)
TRUE,Middle East and North Africa,Middle East,Israel,Helmut Kohl Institute for European Studies,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Henrietta Szold Institute - The National Institute for Research in the Behavioral Sciences,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Info-Prod Research (Middle East) Ltd.,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Institute for Advanced Strategic and Political Studies,Foreign,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Institute for National Security Studies,University ,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Institute for Policy and Strategy,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Interdisciplinary Center for Technology Analysis and Forecasting,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,International Institute for Counter-Terrorism   IDC Herzliya,University ,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Israel Center for Social and Economic Progress,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Israel Center for Third Sector Research,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Israel Democracy Institute,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Israel-Palestine Center for Research and Information,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jabotinsky Institute,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jaffee Center for Strategic Studies (JCSS),University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jerusalem Center for Public Affairs,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jerusalem Institute for Israel Studies,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jerusalem Institute for Market Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jewish Arab Center,University,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Jewish People Policy Institute,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Kohelet Policy Forum,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Leonard Davis Institute for International Relations,University ,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Mada al-Carmel - Arab Center for Applied Social Research,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Maurice Falk Institute for Economic Research in Israel Ltd.,University,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Middle East Business and Economic Research Institute - The Interdisciplinary Center,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Moreshet  Mordechai Anielevich Memorial Holocaust Study and Research center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Moshe Dayan Center for Middle Eastern and African Studies,University ,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Myers-JDC- Brookdale Institute,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,National Building Research Institute,Government,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,National Security Studies Center,University ,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Peres Center for Peace,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Reut Institute,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Rubin Center Research in International Affairs,University ,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Samuel Neaman Institute for Advanced Studies in Science and Technology,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Shalem College,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Shalom Hartman Institute,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Stephen and Nancy Grand Water Research Institute,Government,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Tami Steinmetz Center for Peace Research,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Taub Center for Social Policy Studies in Israel,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,The Heschel Center for Sustainability,Independent,Conservative ,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,The Macro Center for Political Economics,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,The Yitzhak Rabin Center,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Van Leer Jerusalem Institute,Independent,Conservative ,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Wi'am: Palestinian Conflict & Transformation Center,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Institute for Zionist Strategy,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Israel Council on Foriegn Relations,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Mitvim: The Israeli Institute for Regional Foriegn Policies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Molad: The Center for the Renewal of Israeli Democracy ,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Israel,Shaharit,Independent,Conservative ,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Academic Center for Political Studies,Independent,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Al-Quds Center for Political Studies,Independent University,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Al-Urdun Al-Jadid Research Center,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Amman Centre for Human Rights Studies,Independent Foreign,liberal,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Arab Archives Institute,,,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Arab Insititute for Security Studies,Government,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Arab Thought Forum, Independent Corporate,conservative,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Center for Israel Studies,Independent,,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Centre for Strategic Studies,University Foreign,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Friedrich Naumann Foundation for Liberty Amman,Foreign,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Identity Center,Independent,liberal,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Jordan Center for Public Policy Research and Dialogue,,,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Jordan Development Center,,,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Jordan Economic Development Association,,,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Jordan Institute of Diplomacy,,,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,King Hussein Foundation,Government,non-partisan,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Middle East Studies Center,Independent,,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,National Center for Human Resources Development,Government,non-partisan,,,,,
FALSE,Middle East and North Africa,Levant,Jordan,Regional Human Security Centre,,,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Royal Institute for Inter-Faith Studies,Foreign,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Royal Islamic Strategic Studies Centre,Religious,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Royal Scientific Society,Government,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,The Higher Council for Science and Technology,Government,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,The Regional Center on Agrarian Reform and Rural Development for the Near East,Foreign,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,Think Tank for Arab Women,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Jordan,West Asia North Africa (WANA) Institute,Government,liberal,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Arab Planning Institute,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Center for Research and Studies on Kuwait,Government,conservative,,,,,
FALSE,Middle East and North Africa,Gulf,Kuwait,Center for Strategic and Future Studies,,,,,,,
FALSE,Middle East and North Africa,Gulf,Kuwait,Center of Gulf and Arabian Peninsula Studies,,,,,,,
FALSE,Middle East and North Africa,Gulf,Kuwait,Diplomatic Center for Strategic Studies,,,,,,,
FALSE,Middle East and North Africa,Gulf,Kuwait,Gulf Arab States Educational Research Centre,,,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Gulf Centre for Development Policies,Foreign,non-partisan,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,International Union for Conservation of Nature and Natural Resources (IUCN),,liberal,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Kuwait Center for Strategic and Future Studies,,,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Kuwait Centre for Strategic Studies,,,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Kuwait Institute for Scientific Research,Corporate,non-partisan,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Kuwait Institute of Banking Studies,University,liberal,,,,,
FALSE,Middle East and North Africa,Gulf,Kuwait,Kuwait Transparency Society,,,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Pan Arab Research Centre,Corporate,conservative,,,,,
TRUE,Middle East and North Africa,Gulf,Kuwait,Rai Institute for Strategic Studies and Research,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Arab Council for Social Sciences,Independent,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Arab NGO Network for Development,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Arab Studies Institute,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Arab Thought Foundation,Independent,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Beirut Institute,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Carnegie Middle East Center,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Center for Arab Unity Studies,Independent,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Center for Lebanese Studies,Independent,liberal,,,,,
FALSE,Middle East and North Africa,Levant,Lebanon,Center for Research and Education on Democracy,,,,,,,
FALSE,Middle East and North Africa,Levant,Lebanon,Center for Strategic Studies Research and Documentation,,,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Collective for Research and Training on Development,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Consultative Center for Studies and Documentation,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Institut Français du Proche Orient,Government,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Institute for Palestine Studies,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Institute of Financial Economics,University,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,International Center for Agricultural Research in Dry Areas (ICARDA),Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Issam Fares Institute for Public Policy & International Affairs,University,conservative,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Lebanese Association for Educational Studies,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Lebanese Center for Policy Studies,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Lebanese Institute for Social and Economic Development,Independent,liberal,,,,,
FALSE,Middle East and North Africa,Levant,Lebanon,Levant Institute for Strategic Affairs,,,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Orient-Institute Beirut,Government,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,Rene Moawad Foundation,Foreign,liberal,,,,,
FALSE,Middle East and North Africa,Levant,Lebanon,Studies and Research Center on the Contemporary Middle East,University,,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,UMAM Documentation and Research (UMAM D&R),Independent,liberal,,,,,
TRUE,Middle East and North Africa,Levant,Lebanon,United Nations Economic and Social Commision for Western Asia,Foreign,liberal,,,,,
TRUE,Middle East and North Africa,Gulf,Oman,Agricultural Production Research Centre,,,,,,,
FALSE,Middle East and North Africa,Gulf,Oman,International Research Foundation (IRF),,,,,,,
FALSE,Middle East and North Africa,Gulf,Oman,Tawasul,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,3H Movement,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,21st Century Turkey Institute,Governmental,Nonpartisan,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,American Research Institute in Turkey,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey,Ankara Center for Turkish Policy Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey,Ankara Policy Center,,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Association for Liberal Thinking,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Bahcesehir University Center for Economic and Social Research,University,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Bati Akdeniz Agricultural Research Institute,Government ,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Economic  Political and Strategic Research,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Economics and Econometrics,University ,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Economics and Foreign Policy Studies,Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Center for Eurasian Strategic Studies,Independent,Conservative ,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Eurasian Studies,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Mediterranean Studies,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Center for Research on Societal Problems,,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey,Center for Strategic Communication,Governmental,,,,,,
FALSE,Middle East and North Africa,MIddle East,Turkey ,Center for Strategic Research,Government ,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Centre for Economic Research on Mediterranean Countries, Corporate,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Centre for Middle Eastern Strategic Studies,Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Centre of Excellence Defence Against Terrorism,Foreign,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Corporate Governce Association of Turkey,Independent, ,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Corporate Governce Forum of Turkey,University,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Cyprus Policy Center,University ,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Delegation of the European Union to Turkey,Government ,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Economic Policy Research Foundation of Turkey,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Economic Research Center,University,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,Education Reform Initiative,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,European Stability Initiative (ESI),Governmental ,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,Foundation for Poltical  Economic  and Social Research (SETA),Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey,Freedom Research Association,Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Friedrich Ebert Stiftung Turkey Office,Independent ,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Global Political Trends Center at Istanbul Kultur University,University ,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Global Relations Forum,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Institute for Armenian Research,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,International Strategic Research Organization, , ,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Istanbul Policy Center at Sabanci University,University ,,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,KONRAD-ADENAUER-STIFTUNG Turkey Office,Governmental,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Turkey ,Social Policy Reform,University ,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Society and Democracy Association,,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Statistical  Economic and Social Research and Training Centre for Islamic Countries,Cooperation,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,THE UNION OF NGOs OF THE ISLAMIC WORLD,Independet,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Thrace Agricultural Research Institute,Government ,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Turkish Asian Center for Strategic Studies,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Turkish Centre for International Relations & Strategic Alysis,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,Turkey ,Turkish Economic and Social Studies Foundation,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Turkish Foreign Policy Institute,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Baghdad Institute,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,B'Huth  Dubai Public Policy Research Center,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Mohamed Bin Rashid School of Government,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Emirates Center for Strategic Studies and Research,Government ,,,,,,
TRUE,Middle East and North Africa,Middle East,U.A.E.,Emirates Policy Center,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Gulf Research Center,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Institute for International Research Middle East,Independent,,,,,,
FALSE,Middle East and North Africa,Middle East,U.A.E.,Sheikh Saud Bin Saqr Al Qasimi Foundation for Policy Research,Foreign,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,Algerian Association for Family Planning,,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,Centre of Research for Scientific and Technical Information,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,National Agency for the Development of Research in Public Health,,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,National Centre for the Study and Analysis of Population and Development,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,National Centre of Research in Social and Cultural Anthropology,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,National Institute for Global Strategic Studies,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,North-South Ventures,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,Research Center for Applied Economics for Development,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Algeria,The National Agency for the Development of Academic Research,,,,,,,
FALSE,Middle East and North Africa,North Africa,Libya,International Energy Foundation,Independent,,,,,,
FALSE,Middle East and North Africa,North Africa,Libya,Sadeq Institute,Independent,,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Arab Institute of Business Leaders,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Association for International Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Association of Arab Institutes and Centres for Economic and Social Development Research,Independent,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Association of Tunisian Women for Research on Development,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Center for Maghrib Studies in Tunis,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Center for Strategic and Diplomatic Studies ,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Center for Economic and Social Studies Research ,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Center for Young Business Leaders,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Center of Arab Women for Training and Research,Governmental ,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Centre of Mediterranean and International Studies,University ,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Institute for Contemporary Maghreb Research,Governmental,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Institute of Arid Zones,Government ,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,National Institute of Marine Science and Technology,Government ,Non-partisian,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,The Center for Research  Study  Documentation  and Information on Women,Government ,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Tunisian American Chamber of Commerce,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Tunisian Institute for Strategic Studies,Governmental ,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Tunisian Institute of Competitiveness and Quantitative Studies,Government ,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Tunisian Observatory for the democratic transition (OTTD),Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,El Taller,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Tunisia,Institut de Recherche pour Developpement,Government ,Liberal ,,,,,
