TRUE,craiya,spoy strela,treiria,James Neutral Research Institute,Government Corporate ,Neutral Foreign Policy ,treiria,iofliuland,muchaecia,176.0 56.0 22.656639476299443 -315.0 45.0 44.50011753524532,83 S guswouca Street
TRUE,edriawana,boclain,atron,Borris Radical Right Watch,Corporate Religious Government ,Radical Right Hard Science ,atron,muchaecia,Westerwynne,140.0 49.0 35.836171844948176 -259.0 51.0 18.417974105756244,315osmurg Lane
TRUE,edriawana,spoy strela,rochein,Hannah Hard Science Council,Government Religious Religious ,Neutral Hard Science ,rochein,athon,swaeq sneau,148.0 39.0 12.206033916208408 -236.0 18.0 51.96429792473048,50treiria
TRUE,craiya,iupreosal,astrurg,Gene Conservative Research Institute,Religious Religious ,Conservative Social Science ,astrurg,sceuw chax,osken,297.0 0.0 7.326237235903843 -42.0 55.0 28.5489457544587,40othurg
TRUE,edriawana,gescialand,uthiulor,Woolley Radical Right Council,Religious Corporate Government ,Radical Right Social Science ,uthiulor,eshistan,athon,279.0 28.0 16.132619795031488 -244.0 59.0 5.392595471018682,297 S East staoz flurg
TRUE,edriawana,priestein,koflurg,Terry Neutral Watch,Religious ,Neutral Social Science ,koflurg,North blob skos,West gescialand,203.0 50.0 51.88035711542791 -150.0 43.0 51.66856022590792,140spoy strela
TRUE,edriawana,xusheurhiel,pruil shium,Ebzen Neutral Watch,Government Religious Religious ,Neutral Hard Science ,pruil shium,koflurg,jotra,224.0 40.0 25.19208926624439 -100.0 56.0 8.591186145299854,90 E stiuca Road
TRUE,craiya,priestein,West stroum chus,Sophie Conservative Institute,Government Government Religious ,Conservative Foreign Policy ,West stroum chus,South guswouca,snoera,109.0 19.0 17.808111088376084 -125.0 50.0 29.688768543665873,216 E astrurg
TRUE,edriawana,priestein,koflurg,Gene Neutral Council,Corporate Religious ,Neutral Social Science ,koflurg,stroum chus,ogrya,222.0 50.0 41.08724936099577 -153.0 31.0 9.868712483555147,81 S zaspoassau
TRUE,craiya,East xusheurhiel,ewhurg,Gale Radical Right Think Tank,Independent ,Radical Right Foreign Policy ,ewhurg,koflurg,apreyles,92.0 11.0 22.336876859312806 -260.0 54.0 34.47592166282137,184 N qotria Street
TRUE,craiya,spoy strela,steitho,Anna Hard Science Institute,Religious Government Government ,Conservative Hard Science ,steitho,oskait,othurg,114.0 39.0 41.35292354160383 -161.0 16.0 0.3044156135090794,201 S ostryae Street
TRUE,edriawana,spoy strela,blaonia,Mera Hard Science Council,Independent ,Nationalist Hard Science ,blaonia,atron,Highkeep,283.0 16.0 51.675919939681094 -337.0 44.0 54.55121323215298,194snoera Road
TRUE,edriawana,atron,stiuca,Gale Social Science Watch,Corporate Religious ,Radical Left Social Science ,stiuca,iupreosal,fleis flye,73.0 30.0 45.44283109342548 -331.0 16.0 13.303195016598508,340 E friysil
TRUE,craiya,spoy strela,treiria,Jameson Hard Science Institute,Corporate Religious ,Conservative Hard Science ,treiria,boclain,osken,101.0 24.0 4.284521886146129 -170.0 9.0 45.689238388730054,150 E Highkeep Lane
TRUE,craiya,East xusheurhiel,vedrijan,Robert Hard Science Research Institute,Religious Corporate Corporate ,Radical Right Hard Science ,vedrijan,bleuv smana,jotra,150.0 1.0 19.449559363095066 -197.0 8.0 23.5153451314367,337 N uthiulor Lane
TRUE,craiya,iupreosal,atron,Woolley Conservative Council,Religious Corporate ,Conservative Foreign Policy ,atron,friysil,vedrijan,196.0 9.0 42.50653807579747 -129.0 34.0 30.253040695923964,74 N atren Lane
TRUE,edriawana,zaspoassau,East othurg,Robert Social Science Think Tank,Religious ,Neutral Social Science ,East othurg,staoz flurg,priestein,101.0 49.0 13.586357847860652 -229.0 42.0 25.369971456824906,260 S ewhurg Street
TRUE,craiya,muchaecia,blob skos,Elizabeth Radical Left Institute,Independent ,Radical Left Social Science ,blob skos,glaynia,North glaynia,114.0 47.0 3.980174801508038 -42.0 56.0 40.115385889187344,302 N fleis flye Road
TRUE,edriawana,priestein,athon,Betsy Radical Right Council,Religious Religious Government ,Radical Right Foreign Policy ,athon,gescialand,blaonia,187.0 17.0 6.233432547826838 -114.0 4.0 25.38689639104202,299stiuca Lane
TRUE,craiya,pacren,eshington,Betsy Hard Science Research Institute,Religious ,Neutral Hard Science ,eshington,stroum chus,edriawana,136.0 50.0 14.345982409985888 -341.0 0.0 29.607222082545576,296gopruyvania Lane
TRUE,edriawana,friysil,craorhiel,Ebzen Nationalist Institute,Religious ,Nationalist Social Science ,craorhiel,eshington,odriasia,49.0 38.0 21.81491930420809 -178.0 48.0 42.62499936195683,300 N xusheurhiel Lane
TRUE,craiya,iupreosal,atron,Jason Social Science Watch,Government ,Radical Left Social Science ,atron,East gescialand,stroum chus,317.0 29.0 29.98736738493983 -11.0 34.0 37.81175089548736,10 N jotra Lane
TRUE,craiya,iupreosal,ogrya,Ebzen Conservative Watch,Government Corporate Government ,Conservative Social Science ,ogrya,West spoy strela,North edriawana,262.0 25.0 5.618985551680271 -163.0 41.0 9.81042492401647,269 E astrurg Street
TRUE,craiya,priestein,West stroum chus,Rose Radical Left Council,Government Government Government ,Radical Left Foreign Policy ,West stroum chus,staoz flurg,snoera,211.0 25.0 27.855774290695667 -280.0 23.0 55.742043953365595,229 N eshistan Lane
TRUE,craiya,spoy strela,iupreosal,Mera Social Science Watch,Corporate Corporate Corporate ,Conservative Social Science ,iupreosal,fleisau,ogrya,334.0 45.0 46.30165316890965 -108.0 34.0 15.65965705626759,257 S guswouca Lane
TRUE,edriawana,atron,sceuw chax,Sophie Conservative Watch,Independent ,Conservative Hard Science ,sceuw chax,atren,iethana,281.0 58.0 35.02976120227778 -249.0 30.0 38.80523239943115,304fleis flye Lane
TRUE,craiya,priestein,West stroum chus,Mera Radical Left Institute,Religious Religious Religious ,Radical Left Foreign Policy ,West stroum chus,swoe stror,snoera,135.0 45.0 37.6023415994457 -25.0 50.0 26.584134721709507,13 N echya Lane
TRUE,craiya,pacren,osmurg,Dorris Radical Left Think Tank,Government Government Religious ,Radical Left Social Science ,osmurg,stiuca,apreyles,60.0 10.0 51.47413662782427 -58.0 23.0 35.11973491772793,41swaeq sneau Road
TRUE,edriawana,atron,sceuw chax,James Conservative Think Tank,Government ,Conservative Hard Science ,sceuw chax,boclain,zaspoassau,32.0 34.0 50.31095939178994 -35.0 3.0 13.927542528868647,15 S stroum chus
TRUE,edriawana,stoydan,eshistan,Jameson Conservative Research Institute,Religious Corporate Corporate ,Conservative Hard Science ,eshistan,fleisau,sceuw chax,180.0 12.0 21.504088551704516 -342.0 19.0 14.25113412435586,287 E astrurg Lane
TRUE,craiya,spoy strela,eshington,Rock Foreign Policy Institute,Government ,Nationalist Foreign Policy ,eshington,osken,treiria,180.0 56.0 8.502289414925839 -290.0 18.0 14.524288018646008,243 E odriasia Lane
TRUE,craiya,spoy strela,snoera,Paul Social Science Institute,Government Religious Religious ,Nationalist Social Science ,snoera,sceuw chax,osken,134.0 47.0 40.1124798010754 -58.0 10.0 52.56346276563559,241 E snoera Lane
TRUE,edriawana,spoy strela,blaonia,Dorris Foreign Policy Watch,Corporate Corporate Religious ,Conservative Foreign Policy ,blaonia,snoera,eshington,189.0 10.0 6.670107050535435 -211.0 23.0 1.0535681913318502,247 S treiria Lane
TRUE,craiya,pacren,gopruyvania,James Hard Science Research Institute,Religious Religious ,Conservative Hard Science ,gopruyvania,ewhurg,greom clax,276.0 26.0 11.104310616213873 -158.0 19.0 46.712015641062784,87 E oskait Street
TRUE,edriawana,gescialand,fleis flye,Anna Neutral Council,Government Religious Religious ,Neutral Hard Science ,fleis flye,swaeq sneau,guswouca,29.0 29.0 52.40795342111237 -75.0 44.0 17.538896428603792,131 E West vedrijan Street
TRUE,craiya,iupreosal,swaeq sneau,Sophie Foreign Policy Think Tank,Government ,Conservative Foreign Policy ,swaeq sneau,greom clax,othurg,265.0 50.0 14.664372422944453 -88.0 36.0 48.195599581008395,300 E ogrya Road
TRUE,craiya,priestein,West stroum chus,Rose Neutral Institute,Religious Government Corporate ,Neutral Foreign Policy ,West stroum chus,guswouca,echya,49.0 20.0 9.193347609491688 -88.0 24.0 51.19674524920148,9 E jotra Street
TRUE,edriawana,friysil,craorhiel,Jameson Social Science Research Institute,Corporate Religious Corporate ,Radical Right Social Science ,craorhiel,fleisau,zaspoassau,36.0 57.0 16.09862817947986 -167.0 21.0 2.70188987952256,95 E atron Street
TRUE,craiya,spoy strela,East koflurg,Gene Neutral Think Tank,Corporate Corporate Corporate ,Neutral Hard Science ,East koflurg,athon,stroum chus,12.0 46.0 31.23801953059047 -278.0 54.0 10.96649376423043,59 E steitho Lane
TRUE,edriawana,gescialand,uthiulor,Anna Radical Left Research Institute,Corporate Corporate ,Radical Left Hard Science ,uthiulor,echya,treiria,11.0 57.0 6.6563036500750075 -66.0 15.0 46.975603994315634,179 S jotra Lane
TRUE,edriawana,iofliuland,craiya,Terry Conservative Watch,Corporate ,Conservative Foreign Policy ,craiya,craorhiel,echya,54.0 10.0 2.909509829588809 -117.0 26.0 32.666433424485795,183 S xapra Road
TRUE,edriawana,atron,stiuca,Borris Hard Science Research Institute,Religious Government ,Radical Right Hard Science ,stiuca,osmurg,Griffinton,251.0 33.0 44.084416814741175 -118.0 26.0 6.123865094906936,212zaspoassau Lane
TRUE,craiya,iupreosal,glaynia,Carol Social Science Council,Independent ,Nationalist Social Science ,glaynia,guswouca,North qotria,296.0 18.0 2.0319971212963157 -79.0 44.0 3.025151708548541,66 N fleis flye
TRUE,craiya,swaeq sneau,gopruyvania,Lee Nationalist Council,Government Government Religious ,Nationalist Hard Science ,gopruyvania,osnyae,fleisau,166.0 33.0 16.532442548244227 -55.0 20.0 4.425284577198443,307 S iupreosal Road
TRUE,edriawana,priestein,koflurg,Rock Foreign Policy Watch,Independent ,Neutral Foreign Policy ,koflurg,Griffinton,gopruyvania,130.0 8.0 35.257157191543335 -159.0 23.0 7.9070072249910535,31 E craiya Street
TRUE,craiya,iupreosal,staoz flurg,Jameson Hard Science Research Institute,Independent ,Radical Left Hard Science ,staoz flurg,ewhurg,boclain,236.0 17.0 45.711233342974964 -144.0 18.0 26.984533317217466,118 S jotra Road
TRUE,craiya,spoy strela,snoera,Borris Foreign Policy Institute,Corporate Corporate ,Conservative Foreign Policy ,snoera,zaspoassau,stoydan,143.0 36.0 15.193112396858586 -198.0 25.0 47.14261615803873,176Highkeep Street
TRUE,edriawana,iofliuland,craiya,Rose Nationalist Think Tank,Religious Corporate ,Nationalist Foreign Policy ,craiya,gopruyvania,iofliuland,58.0 48.0 49.58311106691438 -227.0 39.0 53.09088943893353,170craiya Road
TRUE,craiya,priestein,West stroum chus,Hannah Conservative Watch,Corporate Corporate ,Conservative Social Science ,West stroum chus,friysil,echya,141.0 27.0 11.440569519594876 -278.0 44.0 40.8255657664959,341 E iethana Lane
TRUE,edriawana,gescialand,fleis flye,James Hard Science Council,Religious Government ,Radical Left Hard Science ,fleis flye,guswouca,North echya,234.0 20.0 9.636097309045795 -15.0 28.0 46.66228674811573,201 E East greom clax Lane
TRUE,edriawana,gescialand,uthiulor,Elizabeth Hard Science Council,Independent ,Radical Right Hard Science ,uthiulor,osmurg,treiria,208.0 27.0 58.8794865027105 -310.0 8.0 37.66937527055351,243 E vedrijan Road
TRUE,edriawana,stoydan,eshistan,Betsy Foreign Policy Watch,Religious ,Nationalist Foreign Policy ,eshistan,steitho,fleis flye,112.0 7.0 32.11064625090851 -207.0 30.0 39.40161850270988,290 S ewhurg Street
TRUE,craiya,pacren,Highkeep,Darol Foreign Policy Council,Government ,Conservative Foreign Policy ,Highkeep,odriasia,xusheurhiel,327.0 40.0 34.86603744011373 -69.0 9.0 44.999160883024075,73 N craorhiel Street
TRUE,edriawana,stoydan,xusheurhiel,James Foreign Policy Council,Government ,Nationalist Foreign Policy ,xusheurhiel,edriawana,uthiulor,149.0 51.0 34.58001201904556 -153.0 31.0 17.095792908993936,199 E claog fleau
TRUE,edriawana,boclain,oskait,Betsy Foreign Policy Research Institute,Religious Religious ,Conservative Foreign Policy ,oskait,ewhurg,bleuv smana,36.0 52.0 3.591060106999695 -159.0 18.0 14.482403959162948,289 S swaeq sneau Lane
TRUE,craiya,spoy strela,iupreosal,Rose Social Science Watch,Independent ,Radical Left Social Science ,iupreosal,fleisau,ogrya,66.0 38.0 36.96467720088374 -44.0 56.0 39.39202811863207,11 N apreyles Lane
TRUE,craiya,iupreosal,swaeq sneau,Jason Foreign Policy Institute,Independent ,Radical Left Foreign Policy ,swaeq sneau,pruil shium,uthiulor,325.0 51.0 43.19746158446863 -231.0 8.0 50.45370732840743,104 E pacren Street
TRUE,craiya,iupreosal,astrurg,Hannah Social Science Institute,Independent ,Conservative Social Science ,astrurg,athon,stoydan,297.0 49.0 14.055030716519493 -331.0 38.0 6.042445146845526,195stiuca Lane
TRUE,edriawana,friysil,craorhiel,Betsy Radical Left Think Tank,Independent ,Radical Left Social Science ,craorhiel,South staoz flurg,zaspoassau,120.0 26.0 51.880747837675216 -208.0 30.0 20.88673368081439,335staoz flurg Street
TRUE,edriawana,atron,sceuw chax,Borris Radical Right Watch,Independent ,Radical Right Hard Science ,sceuw chax,spoy strela,zaspoassau,3.0 47.0 45.46898176808141 -357.0 34.0 57.976095268511905,111claog fleau Lane
TRUE,edriawana,zaspoassau,stoydan,Robert Hard Science Research Institute,Independent ,Neutral Hard Science ,stoydan,atron,South swaeq sneau,331.0 56.0 19.344248550909644 -146.0 28.0 20.72403180685213,211eshington
TRUE,craiya,East xusheurhiel,snoera,James Social Science Watch,Religious Government Government ,Radical Right Social Science ,snoera,muchaecia,osken,225.0 51.0 0.10113255678737398 -273.0 0.0 47.08818288694353,238 S claog fleau Road
TRUE,edriawana,spoy strela,rochein,Jason Foreign Policy Think Tank,Religious Religious ,Radical Left Foreign Policy ,rochein,pacren,swaeq sneau,271.0 4.0 16.769269832440735 -67.0 19.0 9.790853912749267,29koflurg Street
TRUE,edriawana,boclain,atron,Robert Nationalist Think Tank,Corporate Government Corporate ,Nationalist Hard Science ,atron,atren,West stiuca,28.0 37.0 17.799640514074213 -189.0 35.0 38.88545432432153,308 N Highkeep Street
TRUE,craiya,East xusheurhiel,echya,Hannah Conservative Watch,Corporate Government Religious ,Conservative Hard Science ,echya,osnyae,Griffinton,333.0 24.0 32.548458617753106 -158.0 17.0 24.96959482163336,61 E swaeq sneau Road
TRUE,craiya,spoy strela,atron,Paul Hard Science Institute,Independent ,Nationalist Hard Science ,atron,West ogrya,boclain,35.0 36.0 21.557575956343438 -212.0 59.0 4.66125089447528,278echya Road
TRUE,edriawana,xusheurhiel,xapra,Carol Nationalist Research Institute,Independent ,Nationalist Social Science ,xapra,treiria,edriawana,157.0 8.0 2.6002066850549443 -176.0 12.0 38.847732044569334,158odriasia
TRUE,edriawana,boclain,astrurg,Terry Conservative Council,Religious ,Conservative Social Science ,astrurg,blaonia,greom clax,95.0 44.0 35.243774961454065 -53.0 55.0 20.92695245367759,113 N Highkeep
TRUE,edriawana,iofliuland,craiya,Jameson Hard Science Research Institute,Independent ,Neutral Hard Science ,craiya,East atron,iofliuland,270.0 11.0 31.942799079257632 -188.0 6.0 31.36631938798622,149 S iupreosal Street
TRUE,craiya,iupreosal,staoz flurg,Borris Radical Right Watch,Religious ,Radical Right Social Science ,staoz flurg,North swoe stror,West sceuw chax,240.0 7.0 6.795214010560785 -65.0 7.0 34.9811400630677,318athon Lane
TRUE,craiya,muchaecia,blob skos,Sophie Neutral Institute,Religious Government ,Neutral Social Science ,blob skos,sceuw chax,North glaynia,3.0 2.0 23.87772213481669 -85.0 43.0 45.60851314256082,84 E pacren Lane
TRUE,edriawana,claog fleau,gescialand,Anna Conservative Council,Religious Government Corporate ,Conservative Hard Science ,gescialand,oskait,greom clax,9.0 59.0 42.681968312249 -338.0 32.0 44.037709599526956,223ostryae Street
TRUE,edriawana,atron,stiuca,Carol Conservative Institute,Independent ,Conservative Foreign Policy ,stiuca,osmurg,Griffinton,251.0 33.0 44.084416814741175 -118.0 26.0 6.123865094906936,212zaspoassau Lane
TRUE,edriawana,stoydan,xusheurhiel,Betsy Hard Science Council,Independent ,Radical Right Hard Science ,xusheurhiel,osmurg,koflurg,167.0 21.0 43.418574583815435 -351.0 17.0 50.11080915779024,288 S East jotra Road
TRUE,edriawana,priestein,staoz flurg,Borris Nationalist Institute,Corporate ,Nationalist Hard Science ,staoz flurg,fleisau,fleis flye,86.0 22.0 38.35519869935774 -169.0 53.0 34.10175576130189,238 E othurg Road
TRUE,craiya,muchaecia,blob skos,Lee Social Science Think Tank,Corporate Government Corporate ,Radical Right Social Science ,blob skos,West osken,pruil shium,295.0 8.0 38.96781605085508 -68.0 35.0 43.502028151900035,244 N koflurg Road
TRUE,craiya,swaeq sneau,stiuca,Jameson Foreign Policy Watch,Corporate Religious ,Nationalist Foreign Policy ,stiuca,muchaecia,Westerwynne,259.0 5.0 2.8243438868315334 -165.0 9.0 56.26084779469497,325 E swoe stror Lane
TRUE,edriawana,spoy strela,iupreosal,Darol Radical Right Watch,Government Corporate ,Radical Right Social Science ,iupreosal,oskait,gescialand,300.0 56.0 4.093971430347638 -293.0 0.0 37.96521489847461,4 N apreyles Road
TRUE,edriawana,gescialand,uthiulor,James Foreign Policy Research Institute,Government Government Government ,Neutral Foreign Policy ,uthiulor,koflurg,odriasia,282.0 14.0 9.373560452416951 -187.0 25.0 34.0361283696238,36 S blaonia Lane
TRUE,craiya,spoy strela,snoera,Rose Foreign Policy Institute,Independent ,Nationalist Foreign Policy ,snoera,iethana,osken,232.0 11.0 17.7751077040351 -74.0 57.0 45.1477435224057,336 E North Westerwynne Street
TRUE,edriawana,stoydan,guswouca,Robert Hard Science Think Tank,Religious ,Neutral Hard Science ,guswouca,stroum chus,sceuw chax,339.0 14.0 13.282188610988847 -224.0 19.0 34.83184856066689,292 E priestein Street
TRUE,edriawana,friysil,craorhiel,Woolley Hard Science Research Institute,Religious Corporate Religious ,Nationalist Hard Science ,craorhiel,North steitho,odriasia,12.0 44.0 23.015751183091403 -305.0 14.0 21.75631153958532,48 N odriasia Road
TRUE,craiya,priestein,West stroum chus,Rose Nationalist Institute,Religious Corporate ,Nationalist Foreign Policy ,West stroum chus,pruil shium,sceuw chax,249.0 28.0 55.3398483154747 -179.0 21.0 29.424358039388565,71 S rochein Road
TRUE,craiya,iupreosal,ogrya,Terry Radical Right Watch,Government ,Radical Right Foreign Policy ,ogrya,ogrya,claog fleau,27.0 54.0 26.123764590873176 -80.0 4.0 45.84385455533029,303 S jotra Lane
TRUE,edriawana,zaspoassau,stoydan,Mera Radical Right Council,Corporate Corporate Religious ,Radical Right Foreign Policy ,stoydan,stroum chus,atron,178.0 46.0 39.344441141297466 -246.0 59.0 26.724781139524776,300 E iupreosal Road
TRUE,craiya,spoy strela,vedrijan,Gene Neutral Think Tank,Religious ,Neutral Social Science ,vedrijan,eshington,eshington,324.0 27.0 22.17684581109091 -156.0 16.0 47.50567972918951,20 E steitho Street
TRUE,craiya,East xusheurhiel,blob skos,Woolley Nationalist Institute,Religious Government ,Nationalist Social Science ,blob skos,rochein,rochein,53.0 13.0 9.891526565650901 -167.0 15.0 11.290517905158932,69 S snoera Lane
TRUE,craiya,spoy strela,ostryae,Jason Foreign Policy Council,Corporate Government Government ,Radical Right Foreign Policy ,ostryae,xapra,fleis flye,324.0 34.0 51.41261733038231 -44.0 1.0 25.710092897644042,269koflurg
TRUE,edriawana,boclain,oskait,Ebzen Hard Science Research Institute,Independent ,Radical Right Hard Science ,oskait,eshistan,fleisau,38.0 10.0 35.47230346536363 -299.0 9.0 28.213376025987607,356 E North osken Road
TRUE,craiya,spoy strela,atron,Hannah Radical Right Watch,Religious Government Corporate ,Radical Right Foreign Policy ,atron,stoydan,sceuw chax,265.0 37.0 48.29249705432148 -12.0 10.0 30.22657759729242,75 E echya Lane
TRUE,edriawana,spoy strela,blaonia,Anna Neutral Research Institute,Independent ,Neutral Social Science ,blaonia,East Highkeep,osnyae,331.0 31.0 51.58367235913662 -165.0 15.0 49.72895985430813,49 E sceuw chax Road
TRUE,edriawana,zaspoassau,atren,Jameson Radical Right Watch,Corporate ,Radical Right Social Science ,atren,atron,swaeq sneau,36.0 17.0 12.677950285294015 -269.0 54.0 49.22882214123801,189 S staoz flurg
TRUE,edriawana,atron,stiuca,Elizabeth Radical Right Council,Government Government ,Radical Right Hard Science ,stiuca,iupreosal,fleis flye,141.0 18.0 3.510677093594438 -188.0 27.0 32.440550969374506,27 N ewhurg
TRUE,craiya,priestein,West stroum chus,Hannah Social Science Council,Religious ,Radical Left Social Science ,West stroum chus,ogrya,sceuw chax,249.0 7.0 25.08766711859857 -229.0 11.0 57.29714343911246,216 S steitho Road
TRUE,edriawana,boclain,oskait,Ebzen Neutral Think Tank,Independent ,Neutral Foreign Policy ,oskait,ostryae,ostryae,291.0 37.0 24.359972016606353 -179.0 5.0 21.369429605087053,171 N North osken Lane
TRUE,edriawana,boclain,oskait,Paul Foreign Policy Council,Corporate Government ,Conservative Foreign Policy ,oskait,zaspoassau,eshington,208.0 56.0 43.2603056753829 -173.0 44.0 33.70562315074507,305 N koflurg Road
TRUE,craiya,priestein,West stroum chus,Gene Foreign Policy Institute,Religious Government ,Conservative Foreign Policy ,West stroum chus,vedrijan,othurg,129.0 14.0 21.480329594102287 -294.0 40.0 10.719575280351624,181 N osnyae Street
TRUE,craiya,spoy strela,atron,Rock Neutral Research Institute,Independent ,Neutral Hard Science ,atron,stiuca,fleis flye,66.0 48.0 4.241918968435298 -213.0 21.0 9.340667677508138,348 S ogrya Road
TRUE,craiya,pacren,oskait,Terry Hard Science Research Institute,Religious ,Radical Right Hard Science ,oskait,West claog fleau,craiya,148.0 5.0 2.3616060552155758 -27.0 49.0 17.114587540482333,311 E boclain Street
TRUE,craiya,pacren,gopruyvania,Dorris Foreign Policy Institute,Government ,Nationalist Foreign Policy ,gopruyvania,bleuv smana,pruil shium,286.0 39.0 30.09969135438813 -309.0 23.0 38.30284371447239,111 E claog fleau Road
TRUE,craiya,muchaecia,blob skos,Ebzen Radical Left Think Tank,Corporate Religious ,Radical Left Hard Science ,blob skos,zaspoassau,eshington,250.0 11.0 53.68018681777473 -187.0 54.0 46.350752479019036,95 E ogrya Lane
TRUE,edriawana,boclain,atron,Mera Hard Science Think Tank,Corporate Government ,Neutral Hard Science ,atron,boclain,West stiuca,174.0 55.0 23.927267841162195 -168.0 16.0 4.393875931148801,108 S West craiya Road
TRUE,edriawana,xusheurhiel,odriasia,Gene Social Science Council,Religious Government Government ,Neutral Social Science ,odriasia,priestein,boclain,218.0 3.0 7.60608191774762 -14.0 12.0 12.718943532414063,340 S Highkeep Lane
TRUE,edriawana,gescialand,uthiulor,Sophie Nationalist Watch,Independent ,Nationalist Hard Science ,uthiulor,xapra,treiria,308.0 59.0 49.321987743655804 -123.0 44.0 3.828604668684557,354 N stoydan Street
TRUE,craiya,priestein,West stroum chus,Rock Hard Science Think Tank,Corporate Corporate ,Radical Left Hard Science ,West stroum chus,echya,East gescialand,52.0 55.0 36.44853237402378 -149.0 24.0 20.957593592264008,26osmurg
TRUE,edriawana,claog fleau,koflurg,Darol Hard Science Institute,Corporate ,Radical Right Hard Science ,koflurg,pacren,muchaecia,356.0 0.0 19.783859918951404 -153.0 10.0 3.632606872921149,271 S osmurg Street
TRUE,edriawana,spoy strela,rochein,Ebzen Hard Science Institute,Government Religious ,Conservative Hard Science ,rochein,apreyles,swaeq sneau,98.0 57.0 2.545219183292816 -216.0 39.0 34.275265823359575,331blob skos Road
TRUE,edriawana,stoydan,xusheurhiel,Rock Foreign Policy Research Institute,Religious Corporate Religious ,Radical Left Foreign Policy ,xusheurhiel,eshistan,uthiulor,0.0 3.0 9.350334651300985 -148.0 24.0 14.588689777402,169rochein
TRUE,edriawana,atron,claog fleau,Jason Radical Right Institute,Government Corporate ,Radical Right Hard Science ,claog fleau,koflurg,North oskait,279.0 7.0 2.1291455867118585 -198.0 24.0 2.3265031108237486,162 N eshistan
TRUE,edriawana,atron,claog fleau,Robert Hard Science Council,Religious Corporate Religious ,Radical Left Hard Science ,claog fleau,stiuca,North oskait,79.0 31.0 15.370115016802293 -301.0 54.0 55.61112182350766,242 N uthiulor Street
TRUE,craiya,priestein,West stroum chus,Hannah Radical Right Institute,Religious Religious ,Radical Right Hard Science ,West stroum chus,jotra,snoera,351.0 40.0 14.42893080027525 -128.0 27.0 33.44207390111062,20 N koflurg Road
TRUE,edriawana,spoy strela,odriasia,Anna Radical Right Think Tank,Government Corporate ,Radical Right Foreign Policy ,odriasia,East iofliuland,West astrurg,63.0 16.0 9.953575739189185 -137.0 26.0 15.271279791628384,132 E eshistan Lane
TRUE,craiya,swaeq sneau,gopruyvania,Jason Social Science Watch,Independent ,Conservative Social Science ,gopruyvania,iofliuland,fleisau,138.0 38.0 52.79808814172944 -96.0 12.0 52.33498477162516,226 N eshington
TRUE,edriawana,boclain,astrurg,Gale Radical Left Research Institute,Government ,Radical Left Hard Science ,astrurg,South craiya,greom clax,53.0 32.0 26.632455974435768 -155.0 42.0 8.471225818418988,336 S swoe stror Road
TRUE,craiya,East xusheurhiel,fleisau,Sophie Neutral Think Tank,Religious ,Neutral Foreign Policy ,fleisau,blob skos,stiuca,342.0 5.0 54.74400370823815 -22.0 56.0 57.02293585328343,337 E craiya Road
TRUE,craiya,muchaecia,blob skos,Sophie Nationalist Institute,Government ,Nationalist Hard Science ,blob skos,qotria,odriasia,94.0 43.0 38.90756021960395 -283.0 3.0 41.703879755185056,9 N atren
TRUE,craiya,muchaecia,blob skos,Robert Nationalist Watch,Corporate Corporate ,Nationalist Hard Science ,blob skos,fleis flye,odriasia,265.0 25.0 18.560306935675307 -204.0 26.0 57.81920520496483,281 N ogrya Street
TRUE,craiya,pacren,eshington,Rose Neutral Think Tank,Independent ,Neutral Hard Science ,eshington,apreyles,iupreosal,273.0 59.0 43.08524840934767 -320.0 15.0 8.46456985928543,349 S rochein Street
TRUE,edriawana,friysil,craorhiel,Jameson Social Science Institute,Independent ,Nationalist Social Science ,craorhiel,ewhurg,osmurg,55.0 28.0 47.36078177812319 -30.0 13.0 40.55634332462897,316eshistan Road
TRUE,craiya,muchaecia,blob skos,Hannah Social Science Think Tank,Independent ,Radical Left Social Science ,blob skos,snoera,West osnyae,196.0 7.0 11.778621890893282 -253.0 17.0 19.533246078276587,180 E ogrya Street
TRUE,craiya,swaeq sneau,gopruyvania,James Nationalist Research Institute,Government Government ,Nationalist Social Science ,gopruyvania,eshistan,fleisau,5.0 44.0 31.00675541130129 -7.0 15.0 35.588394394872836,90 S pacren
TRUE,edriawana,boclain,oskait,Robert Radical Right Council,Corporate ,Radical Right Foreign Policy ,oskait,ostryae,ostryae,49.0 26.0 25.079721686887655 -53.0 54.0 58.59945604547247,70gopruyvania Road
TRUE,craiya,swaeq sneau,stroum chus,Gene Radical Left Council,Independent ,Radical Left Hard Science ,stroum chus,blob skos,blob skos,145.0 13.0 45.67498637222734 -328.0 11.0 2.54221105777375,325Westerwynne Street
TRUE,craiya,spoy strela,gescialand,Hannah Neutral Council,Government ,Neutral Social Science ,gescialand,osken,bleuv smana,247.0 49.0 23.09573345549913 -235.0 16.0 17.859456227201942,190osken Lane
TRUE,craiya,priestein,West stroum chus,Jameson Foreign Policy Think Tank,Independent ,Radical Left Foreign Policy ,West stroum chus,blob skos,sceuw chax,280.0 55.0 6.470527949842278 -299.0 36.0 55.00143974478245,1xusheurhiel Road
TRUE,edriawana,xusheurhiel,pruil shium,Paul Radical Right Institute,Independent ,Radical Right Social Science ,pruil shium,othurg,jotra,90.0 36.0 47.0310586280305 -102.0 45.0 39.29640937625618,140South steitho
